,ID,Field,StarID,Type,Subtype,RA,DECL,ID_OGLE_II,ID_MACHO,ID_ASAS,ID_GCVS,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
515,OGLE-BLG-RRLYR-03823,BLG194.6,5403.0,RRLyr,RRab,17.833919,-29.404190000000003,-99.99,-99.99,-99.99,-99.99,-99.99,18.809,-99.99,0.58752962,1.28e-06,5000.1869,0.48200000000000004,0.451,4.641,0.287,3.133,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
516,OGLE-BLG-LPV-058809,BLG194.8,126264.0,LPV,OSARG,17.833972,-29.596420000000002,BUL_SC5_75671,-99.99,-99.99,-99.99,      ,15.687000000000001,-99.99,26.508000000000003,-99.99,-99.99,0.008,-99.99,-99.99,-99.99,-99.99,71.59,-99.99,-99.99,0.008,-99.99,-99.99,-99.99,-99.99,121.61,-99.99,-99.99,0.006999999999999999,-99.99,-99.99,-99.99,-99.99,
517,OGLE-BLG-LPV-058810,BLG194.7,38459.0,LPV,OSARG,17.833975,-29.50092,BUL_SC5_89891,-99.99,-99.99,-99.99,      ,15.915,21.055999999999997,13.161,-99.99,-99.99,0.005,-99.99,-99.99,-99.99,-99.99,107.49,-99.99,-99.99,0.008,-99.99,-99.99,-99.99,-99.99,338.6,-99.99,-99.99,0.006,-99.99,-99.99,-99.99,-99.99,
518,OGLE-BLG-LPV-058823,BLG194.6,31196.0,LPV,OSARG,17.834,-29.33578,-99.99,-99.99,-99.99,-99.99,      ,16.113,-99.99,22.02,-99.99,-99.99,0.022000000000000002,-99.99,-99.99,-99.99,-99.99,323.9,-99.99,-99.99,0.035,-99.99,-99.99,-99.99,-99.99,32.077,-99.99,-99.99,0.021,-99.99,-99.99,-99.99,-99.99,
519,OGLE-BLG-LPV-058835,BLG194.8,86385.0,LPV,OSARG,17.834022,-29.612579999999998,BUL_SC5_75522,-99.99,-99.99,-99.99,      ,14.242,18.95,44.019,-99.99,-99.99,0.047,-99.99,-99.99,-99.99,-99.99,41.724,-99.99,-99.99,0.027000000000000003,-99.99,-99.99,-99.99,-99.99,178.25,-99.99,-99.99,0.024,-99.99,-99.99,-99.99,-99.99,
520,OGLE-BLG-LPV-058841,BLG194.7,68920.0,LPV,OSARG,17.834042,-29.468609999999998,-99.99,-99.99,-99.99,-99.99,      ,15.658,-99.99,75.98,-99.99,-99.99,0.045,-99.99,-99.99,-99.99,-99.99,183.69,-99.99,-99.99,0.054000000000000006,-99.99,-99.99,-99.99,-99.99,48.4,-99.99,-99.99,0.032,-99.99,-99.99,-99.99,-99.99,
521,OGLE-BLG-LPV-058853,BLG194.8,126186.0,LPV,OSARG,17.834061,-29.574559999999998,BUL_SC5_82949,-99.99,-99.99,-99.99,      ,15.050999999999998,-99.99,914.9,-99.99,-99.99,0.295,-99.99,-99.99,-99.99,-99.99,793.7,-99.99,-99.99,0.163,-99.99,-99.99,-99.99,-99.99,84.77,-99.99,-99.99,0.08800000000000001,-99.99,-99.99,-99.99,-99.99,
522,OGLE-BLG-LPV-058854,BLG194.6,4869.0,LPV,OSARG,17.834061,-29.400059999999996,-99.99,-99.99,-99.99,-99.99,      ,15.777000000000001,-99.99,731.0,-99.99,-99.99,0.19699999999999998,-99.99,-99.99,-99.99,-99.99,46.997,-99.99,-99.99,0.07400000000000001,-99.99,-99.99,-99.99,-99.99,74.05,-99.99,-99.99,0.053,-99.99,-99.99,-99.99,-99.99,
523,OGLE-BLG-LPV-058859,BLG194.6,57293.0,LPV,SRV,17.834069,-29.29672,-99.99,-99.99,-99.99,-99.99,      ,15.280999999999999,-99.99,64.03,-99.99,-99.99,0.066,-99.99,-99.99,-99.99,-99.99,67.94,-99.99,-99.99,0.07400000000000001,-99.99,-99.99,-99.99,-99.99,430.5,-99.99,-99.99,0.063,-99.99,-99.99,-99.99,-99.99,
524,OGLE-BLG-RRLYR-03829,BLG194.7,69503.0,RRLyr,RRab,17.834072,-29.481690000000004,BUL_SC5_92833,-99.99,-99.99,-99.99,-99.99,18.762,-99.99,0.60173608,7.1e-07,5000.37364,0.331,0.43799999999999994,4.726,0.17800000000000002,3.386,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
525,OGLE-BLG-LPV-058900,BLG194.6,31200.0,LPV,OSARG,17.834135999999997,-29.37125,-99.99,-99.99,-99.99,-99.99,      ,15.549000000000001,-99.99,25.77,-99.99,-99.99,0.023,-99.99,-99.99,-99.99,-99.99,130.17,-99.99,-99.99,0.036000000000000004,-99.99,-99.99,-99.99,-99.99,36.325,-99.99,-99.99,0.027999999999999997,-99.99,-99.99,-99.99,-99.99,
526,OGLE-BLG-LPV-058908,BLG194.7,38549.0,LPV,SRV,17.834144000000002,-29.499190000000002,BUL_SC5_90059,-99.99,-99.99,-99.99,      ,16.612000000000002,-99.99,85.08,-99.99,-99.99,0.083,-99.99,-99.99,-99.99,-99.99,226.3,-99.99,-99.99,0.113,-99.99,-99.99,-99.99,-99.99,198.06,-99.99,-99.99,0.077,-99.99,-99.99,-99.99,-99.99,
